# SL Parsing Summary Log
# Generated: 2025-09-01 19:04:16
# Timestamp: 20250901_190416
📊 Processing Summary:
   ✅ Processed: 232 files
   📁 Output directory: C:\Dev\__RESURREXIT\git\lang\sl\04_chordpro
# Format: FILENAME | TITLE | ROLES | VERSES | CHORDS
--------------------------------------------------------------------------------
SL - 054 - MAGNIFIKAT (Lk 1, 46-55).chordpro | MAGNIFIKAT (Lk 1, 46-55) | 9 roles | 26 verses | A, D, E
SL - 055 - DVIGNIL BOM KELIH ODREŠENJA - Ps 114-115 (116).chordpro | DVIGNIL BOM KELIH ODREŠENJA - Ps 114-115 (116) | 6 roles | 35 verses | A, D, D7, E7, G, e, fis, h
SL - 056 - KO JE GOSPOD - Ps 125 (126).chordpro | KO JE GOSPOD - Ps 125 (126) | 6 roles | 23 verses | A, D, D7, G, e
SL - 057 - ZAHARIJEV HVALOSPEV (Lk 1,68-79).chordpro | ZAHARIJEV HVALOSPEV (Lk 1,68-79) | 7 roles | 30 verses | H7, a, e
SL - 058 - SMRT, KJE JE TVOJA ZMAGA (1 Kor 15).chordpro | SMRT, KJE JE TVOJA ZMAGA? (1 Kor 15) | 10 roles | 38 verses | C, D, F, G, H, d, e, g
SL - 059 - NEBESA, ROSITE Z VIŠAVE (Iz 45,8).chordpro | NEBESA, ROSITE Z VIŠAVE (Iz 45,8) | 17 roles | 35 verses | E, E7, F, G, a
SL - 060 - BINKOŠTI.chordpro | BINKOŠTI | 6 roles | 31 verses | A, A7, B, C, F, G, d
SL - 061 - GLEJ, PRIDEM KMALU (Raz 22,12-16).chordpro | GLEJ, PRIDEM KMALU (Raz 22,12-16) | 4 roles | 15 verses | A, CIS, E, H7, fis
SL - 062 - PRIDI, SIN ČLOVEKOV (Raz 22,17).chordpro | PRIDI, SIN ČLOVEKOV (Raz 22,17) | 3 roles | 19 verses | C, H7, a, e
SL - 063 - ABRAHAM (1 Mz 18,1-5).chordpro | ABRAHAM (1 Mz 18,1-5) | 4 roles | 36 verses | E, F, G, a, d
SL - 064 - MOJZESOV HVALOSPEV (2 Mz 15,1-18).chordpro | MOJZESOV HVALOSPEV (2 Mz 15,1-18) | 16 roles | 55 verses | A7, C7, D7, F, G7
SL - 065 - NE BOŠ PUSTIL MOJEGA ŽIVLJENJA V GROBU - Ps 15 (16).chordpro | NE BOŠ PUSTIL MOJEGA ŽIVLJENJA V GROBU - Ps 15 (16) | 6 roles | 17 verses | E, F, a, d
SL - 066 - HVALITE GOSPODA, VSI NARODI ZEMLJE - Ps 116 (117).chordpro | HVALITE GOSPODA, VSI NARODI ZEMLJE - Ps 116 (117) | 4 roles | 12 verses | C, G, H7, a
SL - 067 - KO JE IZRAEL ODŠEL IZ EGIPTA - Ps 113 A (114).chordpro | KO JE IZRAEL ODŠEL IZ EGIPTA - Ps 113 A (114) | 8 roles | 40 verses | A, D, E, F, FIS, G, GIS, H, a, cis, e, fis, h
SL - 068 - VRATA, DVIGNITE - Ps 23 (24).chordpro | VRATA, DVIGNITE - Ps 23 (24) | 28 roles | 33 verses | A, E, G, H, a, e, h
SL - 069 - GOSPOD JE MOJ PASTIR - Ps 22 (23).chordpro | GOSPOD JE MOJ PASTIR - Ps 22 (23) | 10 roles | 35 verses | E, E7, F, G, a
SL - 070 - OB REKAH BABILONSKIH - Ps 136 (137).chordpro | OB REKAH BABILONSKIH - Ps 136 (137) | 5 roles | 35 verses | D, H7, a, e
SL - 071 - MISERERE - Ps 50 (51).chordpro | MISERERE - Ps 50 (51) | 40 roles | 46 verses | a, e
SL - 072 - USMILI SE ME, BOG - Ps 50 (51).chordpro | USMILI SE ME, BOG - Ps 50 (51) | 11 roles | 43 verses | D, a, e
SL - 073 - JEZUS KRISTUS JE GOSPOD (Flp 2,1-11).chordpro | JEZUS KRISTUS JE GOSPOD (Flp 2,1-11) | 12 roles | 36 verses | C, D, G, H, H7, a, e
SL - 074 - ZDRAVA MARIJA.chordpro | ZDRAVA MARIJA | 2 roles | 14 verses | C, E, F, a, d
SL - 075 - ZDRAVA MARIJA (1984).chordpro | ZDRAVA MARIJA (1984) | 1 roles | 16 verses | C, E, F
SL - 076 - TISTO MESTO PRI MENI.chordpro | TISTO MESTO PRI MENI | 4 roles | 26 verses | A, A7, D, FIS, G, e, fis
SL - 077 - DVIGAM SVOJE OČI H GORAM - Ps 120 (121).chordpro | DVIGAM SVOJE OČI H GORAM - Ps 120 (121) | 7 roles | 26 verses | C, D, G, h
SL - 078 - PESEM OSVOBOJENIH (Iz 12,4-6).chordpro | PESEM OSVOBOJENIH (Iz 12,4-6) | 7 roles | 11 verses | C, E, E7, F, G, a
SL - 079 - ČE DANES SLIŠITE NJEGOV GLAS - Ps 94 (95).chordpro | ČE DANES SLIŠITE NJEGOV GLAS - Ps 94 (95) | 9 roles | 29 verses | C, E, G, a, d
SL - 080 - PRIDITE, PREPEVAJMO GOSPODU - Ps 94 (95).chordpro | PRIDITE, PREPEVAJMO GOSPODU - Ps 94 (95) | 7 roles | 28 verses | A, A7, D, G, e
SL - 081 - DAJENU.chordpro | DAJENU | 18 roles | 56 verses | C, D, H7, a, e
SL - 082 - K VELIKONOČNI ŽRTVI.chordpro | K VELIKONOČNI ŽRTVI | 4 roles | 26 verses | A7, E, F, a, d
SL - 083 - VELIKONOČNA HVALNICA.chordpro | VELIKONOČNA HVALNICA | 4 roles | 15 verses | E7, a, d
SL - 084 - PESEM ADVENTNIH HVALNIC.chordpro | PESEM ADVENTNIH HVALNIC | 2 roles | 23 verses | E, a, d
SL - 085 - URI, URI, URA.chordpro | URI, URI, URA | 9 roles | 21 verses | H7, e
SL - 086 - PRIHAJA MOJ BOG.chordpro | PRIHAJA MOJ BOG | 9 roles | 24 verses | H7, e
