# SL Parsing Summary Log
# Generated: 2025-08-27 11:43:49
# Timestamp: 20250827_114349
# Format: FILENAME | TITLE | VERSES | CHORDS
--------------------------------------------------------------------------------
SL - 101 - O BOG, TI SI MOJ BOG - Ps 62 (63).chordpro | O BOG, TI SI MOJ BOG - Ps 62 (63) | 9 verses | E, F, a, d
SL - 102 - BOG SE DVIGA MED VZKLIKI - Ps 46 (47).chordpro | BOG SE DVIGA MED VZKLIKI - Ps 46 (47) | 5 verses | a, d
SL - 103 - LJUDSTVO, KI JE HODILO V TEMI (Iz 9,1-5).chordpro | LJUDSTVO, KI JE HODILO V TEMI (Iz 9,1-5) | 4 verses | C, F, G, GIS, a
SL - 104 - HVALI GOSPODA - Ps 145 (146).chordpro | HVALI GOSPODA - Ps 145 (146) | 9 verses | C, D, G, H7, e, h
SL - 105 - BILEAMOVA PESEM (4 Mz 23,7-24).chordpro | BILEAMOVA PESEM (4 Mz 23,7-24) | 8 verses | D, G, e, h
SL - 106 - VPRIÈO ANGELOV - Ps 137 (138).chordpro | VPRIÈO ANGELOV - Ps 137 (138) | 9 verses | C, E, F, G, d
SL - 107 - KO JE BIL IZRAEL OTROK (Oz 11,1-11).chordpro | KO JE BIL IZRAEL OTROK (Oz 11,1-11) | 10 verses | B, C, F, d, g
SL - 108 - TO JE GOSPODOVA PASHA.chordpro | TO JE GOSPODOVA PASHA | 9 verses | E, G, a
SL - 109 - VSAKA STVAR IMA SVOJ ÈAS (Prid 3,1-15).chordpro | VSAKA STVAR IMA SVOJ ÈAS (Prid 3,1-15) | 8 verses | C, E7, F, a, d, e
SL - 110.chordpro | Untitled Song | 8 verses | G, a
SL - 111 - KAKO LJUBA SO TVOJA BIVALIŠÈA - Ps 83 (84).chordpro | KAKO LJUBA SO TVOJA BIVALIŠÈA - Ps 83 (84) | 5 verses | C, F, G, a, e
SL - 112 - GOSPOD PRIHAJA, OBLEÈEN V VELIÈANSTVO - Ps 92 (93).chordpro | GOSPOD PRIHAJA, OBLEÈEN V VELIÈANSTVO - Ps 92 (93) | 7 verses | d, g
SL - 113 - DAN POÈITKA IN SVETOSTI.chordpro | DAN POÈITKA IN SVETOSTI | 8 verses | a, e
SL - 114 - TOLAŽITE MOJE LJUDSTVO (Iz 40,1-11).chordpro | TOLAŽITE MOJE LJUDSTVO (Iz 40,1-11) | 6 verses | A, G, H7, a, e
SL - 115 - ANGELA DVA STA BILA.chordpro | ANGELA DVA STA BILA | 4 verses | E, a, d
SL - 116 - LJUBIM GOSPODA - Ps 114 - 115 (116).chordpro | LJUBIM GOSPODA - Ps 114 - 115 (116) | 4 verses | C, D, D7, G, a, h
SL - 117 - PRIDITE K MENI VI VSI (Mt 11,28-30).chordpro | PRIDITE K MENI VI VSI (Mt 11,28-30) | 2 verses | C, E, F, a
SL - 118 - TEBI, GOSPOD, GRE HVALOSPEV NA SIONU - Ps 64 (65).chordpro | TEBI, GOSPOD, GRE HVALOSPEV NA SIONU - Ps 64 (65) | 6 verses | A, A7, B, d, g
SL - 119 - ÈE H GOSPODU SE ZATEKAM - Ps 10 (11).chordpro | ÈE H GOSPODU SE ZATEKAM - Ps 10 (11) | 3 verses | C, C7, G, H, H7, a, e
SL - 120 - GOSPOD OZNANJA NOVICO - Ps 67 (68).chordpro | GOSPOD OZNANJA NOVICO - Ps 67 (68) | 5 verses | A, G, a, e, h
SL - 121 - BLAGOSLAVLJAJTE GOSPODA, ALELUJA - Ps 133 (134).chordpro | BLAGOSLAVLJAJTE GOSPODA, ALELUJA - Ps 133 (134) | 2 verses | C, H7, e
SL - 122 - HÈERE JERUZALEMSKE (Lk 23,28.31.34.43.46).chordpro | HÈERE JERUZALEMSKE (Lk 23,28.31.34.43.46) | 9 verses | E, F, G, a
SL - 123 - RAZKRIL SEM TI SVOJ GREH - Ps 31 (32).chordpro | RAZKRIL SEM TI SVOJ GREH - Ps 31 (32) | 3 verses | G, a, d
SL - 124 - MARIJA, MATI CERKVE (Jn 19,26-34).chordpro | MARIJA, MATI CERKVE (Jn 19,26-34) | 3 verses | E, F, G, a, d
SL - 125 - STABAT MATER DOLOROSA.chordpro | STABAT MATER DOLOROSA | 7 verses | A7, B, B7, d
SL - 126 - GOSPODOVA TOŽBA - O MOJE LJUDSTVO.chordpro | GOSPODOVA TOŽBA - O MOJE LJUDSTVO | 10 verses | H7, a, e
SL - 127 - O GOSPOD, NAŠ BOG - Ps 8.chordpro | O GOSPOD, NAŠ BOG - Ps 8 | 2 verses | C, G, H7, a, e
SL - 128.chordpro | Untitled Song | 4 verses | E, F, G, a, d
SL - 129 - ZDRAVA, O NEBES KRALJICA.chordpro | ZDRAVA, O NEBES KRALJICA | 4 verses | E, E7, F, G, a, d
SL - 130 - DEVICA ÈUDOVITEGA.chordpro | DEVICA ÈUDOVITEGA | 7 verses | E, F, a, d
SL - 131 - MARIJA, HIŠA BLAGOSLOVA.chordpro | MARIJA, HIŠA BLAGOSLOVA | 5 verses | E, F, G, a, d
SL - 132 - BLAGOSLAVLJAL BOM GOSPODA V VSAKEM ÈASU - Ps 33 (34).chordpro | BLAGOSLAVLJAL BOM GOSPODA V VSAKEM ÈASU - Ps 33 (34) | 5 verses | A, B, C, d
SL - 133 - ŽETEV NARODOV (Jn 4,31-38).chordpro | ŽETEV NARODOV (Jn 4,31-38) | 6 verses | C, D, H7, a, e, eH7
SL - 134 - GOSPOD GOVORI MOJEMU GOSPODU - Ps 109 (110).chordpro | GOSPOD GOVORI MOJEMU GOSPODU - Ps 109 (110) | 6 verses | C, E, F, G, G7, a
SL - 135 - SREÈEN ÈLOVEK - Ps 1.chordpro | SREÈEN ÈLOVEK - Ps 1 | 9 verses | E, F, G, a
SL - 136 - TI SI NAJLEPŠI - Ps 44 (45).chordpro | TI SI NAJLEPŠI - Ps 44 (45) | 8 verses | A, B, C, F, d, g
SL - 137 - SREÈA ÈLOVEKU - Ps 127 (128).chordpro | SREÈA ÈLOVEKU - Ps 127 (128) | 2 verses | E, F, a, d
SL - 138 - VZDIGNE SE BOG - Ps 67 (68,2.4-7).chordpro | VZDIGNE SE BOG - Ps 67 (68,2.4-7) | 1 verses | E
SL - 139 - POJDIMO ZDAJ, PASTIRJI.chordpro | POJDIMO ZDAJ, PASTIRJI | 6 verses | H7, a, e
