# HR Parsing Summary Log
# Generated: 2025-08-27 11:53:38
# Timestamp: 20250827_115338
# Format: FILENAME | TITLE | VERSES | CHORDS
--------------------------------------------------------------------------------
📊 Processing Summary:
   ✅ Processed: 224 files
   📁 Output directory: C:\Dev\__RESURREXIT\git\lang\hr\04_chordpro
--------------------------------------------------------------------------------
HR - 112 - KAKO SU MILI STANOVI TVOJI - Ps 83 (84).chordpro | KAKO SU MILI STANOVI TVOJI - Ps 83 (84) | 5 verses | C, F, G, a, e
HR - 113 - DOLAZI GOSPODIN U SLAVU ZAODJEVEN.chordpro | DOLAZI GOSPODIN U SLAVU ZAODJEVEN | 7 verses | d, g
HR - 114 - DAN ODMORA.chordpro | DAN ODMORA | 8 verses | a, e
HR - 115 - UTJEŠITE NAROD MOJ (Iz 40,1-11).chordpro | UTJEŠITE NAROD MOJ (Iz 40,1-11) | 6 verses | A, G, H7, a, e
HR - 116 - BIJAHU DVA ANĐELA.chordpro | BIJAHU DVA ANĐELA | 4 verses | E, a, d
HR - 117 - LJUBIM GOSPODINA - Ps 114 - 115 (116).chordpro | LJUBIM GOSPODINA - Ps 114 - 115 (116) | 4 verses | C, D, D7, G, a, h
HR - 118 - DOĐITE K MENI, SVI VI (Mt 11, 28 - 30).chordpro | DOĐITE K MENI, SVI VI (Mt 11, 28 - 30) | 2 verses | C, E, F, a
HR - 119 - TEBE, GOSPODINE, TREBA SLAVITI NA SIONU - Ps 64 (65).chordpro | TEBE, GOSPODINE, TREBA SLAVITI NA SIONU - Ps 64 (65) | 6 verses | A7, B, d, g
HR - 120 - AKO SE GOSPODINU JA UTEKOH - Ps 10 (11).chordpro | AKO SE GOSPODINU JA UTEKOH - Ps 10 (11) | 3 verses | C, C7, G, H7, a, e
HR - 121 - GOSPODIN NAVIJESTI JEDNU VIJEST - Ps 67 (68).chordpro | GOSPODIN NAVIJESTI JEDNU VIJEST - Ps 67 (68) | 5 verses | A, G, a, e, h
HR - 122 - BLAGOSLIVLJAJTE GOSPODINA - Ps 133 (134).chordpro | BLAGOSLIVLJAJTE GOSPODINA - Ps 133 (134) | 4 verses | A, B, d
HR - 123 - KĆERI JERUZALEMSKE (Lk 23, 28. 31. 34. 43. 46).chordpro | KĆERI JERUZALEMSKE (Lk 23, 28. 31. 34. 43. 46) | 8 verses | E, F, G, a
HR - 124 - TEBI SAM OBJAVIO SVOJ GRIJEH - Ps 31 (32).chordpro | TEBI SAM OBJAVIO SVOJ GRIJEH - Ps 31 (32) | 7 verses | G, a, d
HR - 125 - MARIJA, MAJKA CRKVE (Iv 19,26-34).chordpro | MARIJA, MAJKA CRKVE (Iv 19,26-34) | 6 verses | E, E7, F, G, G7, a, d
HR - 126 - STABAT MATER.chordpro | STABAT MATER | 14 verses | A7, B7, C7, d
HR - 127 - PRIJEKORI GOSPODINOVI - PUČE MOJ.chordpro | PRIJEKORI GOSPODINOVI - PUČE MOJ | 14 verses | H7, a, e
HR - 128 - O GOSPODINE, BOŽE NAŠ - Ps 8.chordpro | O GOSPODINE, BOŽE NAŠ - Ps 8 | 5 verses | C, G, H7, a, e
HR - 129 - BLAGOSLOVLJENA SI TI, MARIJO (Lk 1, 42 - 44).chordpro | BLAGOSLOVLJENA SI TI, MARIJO (Lk 1, 42 - 44) | 4 verses | E, F, G, a, d
HR - 130 - ZDRAVO, KRALJICE NEBESKA.chordpro | ZDRAVO, KRALJICE NEBESKA | 4 verses | E, E7, F, G, a, d
HR - 131 - DJEVICA DIVOTE.chordpro | DJEVICA DIVOTE | 7 verses | FIS, G, e, h
HR - 132 - MARIJO, KUĆO BLAGOSLOVA.chordpro | MARIJO, KUĆO BLAGOSLOVA | 5 verses | E, F, G, a, d
HR - 133 - BLAGOSLIVLJAT ĆU GOSPODINA U SVAKO DOBA (1986.) - Ps 33 (34).chordpro | BLAGOSLIVLJAT ĆU GOSPODINA U SVAKO DOBA (1986.) - Ps 33 (34) | 10 verses | A, B, C, d
HR - 134 - ŽETVA NARODA (Iv 4, 31 - 38).chordpro | ŽETVA NARODA (Iv 4, 31 - 38) | 9 verses | A, FIS, G, e, h
HR - 135 - GOVORI GOSPODIN GOSPODINU MOJEMU - Ps 109 (110).chordpro | GOVORI GOSPODIN GOSPODINU MOJEMU - Ps 109 (110) | 6 verses | A, E, GIS, H, H7, cis
HR - 136 - BLAŽEN ČOVJEK - Ps 1.chordpro | BLAŽEN ČOVJEK - Ps 1 | 8 verses | E, F, G, a
HR - 137 - TI SI NAJLJEPŠI - Ps 44 (45).chordpro | TI SI NAJLJEPŠI - Ps 44 (45) | 8 verses | A, E, GIS, H, cis, fis
HR - 138 - SREĆA ČOVJEKU (1990.) - Ps 127 (128).chordpro | SREĆA ČOVJEKU (1990.) - Ps 127 (128) | 5 verses | E, F, a, d, e
HR - 139 - BOG NEK USTANE - Ps 67 (68) (rr 2. 4 - 7).chordpro | BOG NEK USTANE - Ps 67 (68) (rr 2. 4 - 7) | 3 verses | E
HR - 140 - POĐIMO VEĆ PASTIRI.chordpro | POĐIMO VEĆ PASTIRI | 8 verses | H7, a, e
HR - 141 - MARIA DI JASNA GORA ().chordpro | MARIA DI JASNA GORA (*) | 6 verses | H, a, e
